FoodName,LinkDrive,TheDescription,YoutubeLink,Calories,Protein,Fats,Carbs
rice ball,https://drive.google.com/file/d/1BRK1hloHS32CbNqphJYAacp1Vg_I3LfG/view?usp=sharing,"any kind of food item made from rice that has been shaped, condensed, or otherwise combined into a ball shape. Rice balls exist in many different cultures in which rice is eaten, and are particularly prevalent in Asia.",https://www.youtube.com/watch?v=FHj3S6UCxWo,364,7,5,68
rice gruel,https://drive.google.com/file/d/1bqJVLTipkwyi-wZSWlAiHvPZTEgKphu5/view?usp=sharing,"a food consisting of some type of cereal—such as ground oats, wheat, rye, or rice—heated or boiled in water or milk. It is a thinner version of porridge that may be more often drunk rather than eaten. Historically, gruel has been a staple of the Western diet, especially for peasants.",https://www.youtube.com/watch?v=i0WG86kUyXo,271,25,3,35
rice vermicelli,https://drive.google.com/file/d/1CkUnOiF1juXHzPA8tUWfPjHbAN3IIiuH/view?usp=sharing,"is a thin form of noodle. It is sometimes referred to as ""rice noodles"" or ""rice sticks"", but should not be confused with cellophane noodles ...",https://www.youtube.com/watch?v=8I2N8JaFr-E,473,21,1,38
roast chicken,https://drive.google.com/file/d/1iEoeJ_dpS7lzHp7DisXzkHUoO43iuPVq/view?usp=sharing," is chicken prepared as food by roasting whether in a home kitchen, over a fire, or with a rotisserie (rotary spit). Generally, the chicken is roasted with its own fat and juices by circulating the meat during roasting, and therefore, are usually cooked exposed to fire or heat with some type of rotary grill so that the circulation of these fats and juices is as efficient as possible. Roast chicken is a dish that appears in a wide variety of cuisines worldwide",https://www.youtube.com/watch?v=kiv6L58cf-Q,365,24,1,32
roast duck,https://drive.google.com/file/d/1gi6F76yyZ5GPdC6VNxHmpWwJqOY-l0u-/view?usp=sharing,"A roast duck with golden skin and tender, fat-basted meat makes for a festive holiday meal that's not too stressful when entertaining.",https://www.youtube.com/watch?v=rjIw8B1FiVw,469,6,5,36
samul,https://drive.google.com/file/d/1i3qLDGwtF98bS6WDw0d4yuRzc4JCFvgk/view?usp=sharing,is like noodels and make form eggs an flouers with Soya sauce,,380,23,10,55
scone,https://drive.google.com/file/d/1evATgR3tJLEa88cfU-uRYYH6n7rYbtjI/view?usp=sharing,"is a traditional British baked good, popular in the United Kingdom and Ireland. It is usually made of either wheat flour or oatmeal",https://www.youtube.com/watch?v=ulNBP6AQrb8,311,15,2,42
scrambled egg,https://drive.google.com/file/d/1m1pqyUFe0kI7tg15Ox8CaPkd6XFQYvCc/view?usp=sharing,"is a dish made from eggs (usually chicken eggs) stirred, whipped, or beaten together typically with salt, butter, oil, and sometimes other",https://www.youtube.com/watch?v=yyi55ZrpJ0E,272,6,3,68
shortcake,https://drive.google.com/file/d/1goTQyKRPceMWO-5_W2YjN3lVzoQ6k0kc/view?usp=sharing," generally refers to a dessert with a crumbly scone-like texture.[1] There are multiple variations of shortcake, most of which are served with fruit and cream. One of the most popular is strawberry shortcake, which is typically served with whipped cream. Other variations common in the UK are blackberry and clotted cream shortcake[2] and lemon berry shortcake, which is served with lemon curd in place of cream",https://www.youtube.com/watch?v=dRdinLuopTo,246,19,10,67
shrimp with chill source,https://drive.google.com/file/d/130pbzUFPudUoCDR3XdBOq_tBLaM0RETW/view?usp=sharing, (simplified Chinese: 干烧明虾; traditional Chinese: 乾燒明蝦; pinyin: gān shāo míngxiā or simplified Chinese: 明虾; traditional Chinese: 明蝦; pinyin: míngxiā) is a dish of stir-fried shrimp in chilli sauce (which may use doubanjiang) in Chinese cuisine. It is a part of both Sichuan and Shanghai cuisines.,https://www.youtube.com/watch?v=_Hu72dO3oiE,426,23,7,62
spaghetti meat sauce,https://drive.google.com/file/d/1AdOcVEYcWuUk6eOp0w0AJcf-3YO_lEKw/view?usp=sharing,"Season ground beef with salt and pepper. In a large skillet, add the beef and chopped onion and brown. Drain excess grease. Add tomato sauce, tomato paste, Italian seasoning, parsley, garlic powder, crushed red pepper, worcestershire, and sugar to the skillet.",https://www.youtube.com/watch?v=vrFQkLyGLzc,465,17,3,56
steamed meat dumpling,https://drive.google.com/file/d/1WPN3cyLv7N4IZ9qTWdcOrGWeEQ3WqEC2/view?usp=sharing,"Snail noodles are made from river snails and pork bones, which are stewed for hours with black cardamom, fennel seed, dried tangerine peel, cassia bark, cloves, white pepper, bay leaf, licorice root, sand ginger, and star anise.",https://www.youtube.com/watch?v=tOVp0fY9Qlo,344,9,4,37
tacos,https://drive.google.com/file/d/1NTfg85XWbqbXdXZnLHFWQSPWzcSoTIph/view?usp=sharing, is a traditional Mexican dish consisting of a small hand-sized corn- or wheat-based tortilla topped with a filling. The tortilla is then folded,https://www.youtube.com/watch?v=Kz-VpoNEWXM,381,12,2,46
tanmen,https://drive.google.com/file/d/1cHy35I2Th8puVWZWXVcPyHzbU5XRCbMu/view?usp=sharing," is a loaded ramen dish featuring stir-fried vegetables, such as cabbage, onions, carrots, wood ear mushrooms, green onions, and bean sprouts.",https://www.youtube.com/watch?v=lG683M4d6UE,402,25,3,42
thinly sliced raw horsemeat,https://drive.google.com/file/d/1wipn68D7py1LCzWKuqdPlmh5pR9zxjeo/view?usp=sharing,"Japan's most southwesterly island, chefs specialize in preparing a delicacy nicknamed “cherry blossom meat” (sakura-niku) for its intensely red hue. This is basashi, or raw horse meat, and its tender texture has lured many fans to the city of Kumamoto, where it's served as sashimi or nigiri.",https://www.youtube.com/watch?v=6MHHA1K92L0,229,11,6,59
tiramisu,https://drive.google.com/file/d/1d4FplMciqWAl_CPOsfAHTuqzMWM6QuTQ/view?usp=sharing," is an Italian dessert made of ladyfinger pastries (savoiardi) dipped in coffee, layered with a whipped mixture of eggs",https://www.youtube.com/watch?v=ayiiE6RPDFw,274,19,7,52
tortilla,https://drive.google.com/file/d/1uBdek1kl9KOombikb0wfEapuFoZft7BF/view?usp=sharing," is a thin, circular unleavened flatbread from Mesoamerica originally made from maize hominy meal, and now also from wheat flour",https://www.youtube.com/watch?v=CyFr7L7pGoc,359,2,3,46
turnip pudding,https://drive.google.com/file/d/1XMFNeFYFSPvRv5OmFaBmQXEPcqGg_d04/view?usp=sharing,is a classic savoury cake served in dim sum restaurants and especially during the Chinese New Year period as a symbol of prosperity.,https://www.youtube.com/watch?v=-X8KgbP_AXc,252,9,4,35
twice cooked pork,https://drive.google.com/file/d/1QSsySpAXC0CjMtrqoRiWz9_Wxog9GV4c/view?usp=sharing,"is a Sichuan dish of spicy seared pork belly that’s way too famous to ignore and too delicious not to share. If you’ve never tried it, you NEED to make this recipe. It is simply and unequivocally delicious",https://www.youtube.com/watch?v=jJqdBIm4INU,303,23,6,37
waffle,https://drive.google.com/file/d/1uO_3PGvY0-6NTlI9rOBCL92_kpe0DEmO/view?usp=sharing,"is a dish made from leavened batter or dough that is cooked between two plates that are patterned to give a characteristic size, shape, and surface .",https://www.youtube.com/watch?v=iR64hfkGQeU,390,14,2,32
xiao long bao,https://drive.google.com/file/d/1vV-cgLQa3xuijLNukMlMS4uxkaT0zyAh/view?usp=sharing," a type of small Chinese steamed bun (baozi) traditionally prepared in a xiaolong, a small bamboo steaming basket",https://www.youtube.com/watch?v=qNa9QZFmdyQ,466,21,3,49
yellow cury,https://drive.google.com/file/d/1d9OZrdgIrpzU6NytD0XrLHJhp6ylbkYM/view?usp=sharing,"called kaeng kari (by various spellings) in Thai, of which a literal translation could be ""curry soup""—is more similar to Indian curries, with the use of turmeric, cumin, and other dried spices.",https://www.youtube.com/watch?v=hGVDdNFPUZk,471,12,10,46
yudofu,https://drive.google.com/file/d/1HMd5Sjz5JISc59w6XZuLVVtUFyL31llN/view?usp=sharing,"is a simple Japanese hot pot dish consisting of silken tofu simmered in water with kombu seaweed (kelp). Fun fact: While Yudofu is sometimes referred to as boiled tofu, it's actually cooked at just below boiling to avoid the bubbles breaking apart the fragile silken tofu pieces!",https://www.youtube.com/watch?v=j06PN1_TJA4,351,10,1,48
zoni,https://drive.google.com/file/d/1awxMsavp7UjpAUVgLE3IZMPikB2EfZj4/view?usp=sharing,is a sweet red bean soup served hot with mochi (rice cake) or shiratama dango (glutinous rice flour dumplings),https://www.youtube.com/watch?v=85MlgN4l-dM,257,1,6,42
